Project,Client,Title,Duration
SOS1819-06,,#1 Hacer L02,00:00:08
SOS1819-06,,#10 Tarea 5 (API REST),00:36:43
SOS1819-06,,#11 Tarea 5 F03,02:15:37
SOS1819-06,,#12 Tarea 6 F03,00:48:07
SOS1819-06,,#2 Registrar información en el repositorio común de la asignatura,00:05:21
SOS1819-06,,#3 Tarea para F01,00:13:38
SOS1819-06,,#4 Tareas individuales F01,01:50:07
SOS1819-06,,#5 Tarea nº 6,00:46:17
SOS1819-06,,#6 Feedback 13/03,05:08:52
SOS1819-06,,#7 Tarea 7 y despliegue del proyecto en Heroku,00:54:09
SOS1819-06,,#8 Tarea 8,02:12:14
SOS1819-06,,#9 Tareas F03 Javier Ezcurra,03:09:00
SOS1819-06,,acabar tarea 5,00:49:50
SOS1819-06,,Continuación tarea nº6,00:43:22
SOS1819-06,,convertir informacion del README.md a html,00:06:01
SOS1819-06,,Despliegue y configuración Heroku,01:55:37
SOS1819-06,,F04-Tarea4,00:36:26
SOS1819-06,,Tarea 6,01:02:01
SOS1819-06,,Tarea 8-Documento API,00:33:13
SOS1819-06,,Tarea nº 14,00:12:37
SOS1819-06,,Tareas D01,05:03:22
SOS1819-06,,Tareas F01,00:13:56
SOS1819-06,,Tareas F04,05:56:35
SOS1819-06,,,07:00:00
,,#3 Finalizar Tarea 14,00:07:40
